,tmin,tmax,tavg
0,-10.0,-3.3,-6.65
1,-6.1,1.7,-2.1999999999999997
2,-6.1,6.1,0.0
3,-1.1,3.9,1.4
4,-6.7,1.7,-2.5
5,-7.8,0.6,-3.6
6,-8.3,1.1,-3.6000000000000005
7,-10.0,-4.4,-7.2
8,-9.4,1.1,-4.15
9,-1.7,7.8,3.05
10,2.2,8.9,5.550000000000001
11,-1.1,3.3,1.0999999999999999
12,-3.3,3.3,0.0
13,-3.3,13.9,5.300000000000001
14,1.1,8.3,4.7
15,2.2,7.8,5.0
16,1.7,8.9,5.3
17,2.2,10.6,6.4
18,1.7,6.7,4.2
19,2.8,12.2,7.5
20,2.8,12.8,7.800000000000001
21,0.6,4.4,2.5
22,-3.9,6.1,1.0999999999999999
23,0.6,3.9,2.25
24,1.1,13.9,7.5
25,1.7,8.3,5.0
26,1.7,10.0,5.85
27,3.9,15.6,9.75
