,tmin,tmax,tavg
0,-2.8,3.3,0.25
1,-2.2,3.9,0.8499999999999999
2,-2.8,2.2,-0.2999999999999998
3,-1.1,6.1,2.5
4,-2.2,5.0,1.4
5,0.6,10.0,5.3
6,2.2,17.2,9.7
7,0.6,12.8,6.7
8,2.8,10.6,6.699999999999999
9,6.7,11.1,8.9
10,1.7,9.4,5.55
11,1.1,9.4,5.25
12,-1.1,11.7,5.3
13,6.7,11.1,8.9
14,-5.0,7.2,1.1
15,-5.0,3.9,-0.55
16,1.7,6.1,3.9
17,-2.8,3.3,0.25
18,-5.0,5.6,0.2999999999999998
19,-7.2,1.1,-3.05
20,-7.2,6.1,-0.5500000000000003
21,3.3,13.3,8.3
22,-6.7,8.9,1.1
23,-12.2,-5.6,-8.899999999999999
24,-8.9,-1.7,-5.3
25,-7.8,-2.2,-5.0
26,-10.6,-0.6,-5.6
27,-9.4,-3.3,-6.35
28,-10.0,-3.9,-6.95
29,-10.6,-6.1,-8.35
30,-11.7,-5.6,-8.649999999999999
