date,tavg,tmax,tmin
2025-01-01,46.0,52.0,40.0
2025-01-02,41.0,45.0,37.0
2025-01-03,38.5,46.0,31.0
2025-01-04,30.0,34.0,26.0
2025-01-05,30.5,37.0,24.0
2025-01-06,31.0,34.0,28.0
2025-01-07,28.5,35.0,22.0
2025-01-08,29.5,34.0,25.0
2025-01-09,28.5,34.0,23.0
2025-01-10,30.5,36.0,25.0
2025-01-11,34.0,39.0,29.0
2025-01-12,36.0,44.0,28.0
2025-01-13,39.5,51.0,28.0
2025-01-14,33.5,39.0,28.0
2025-01-15,28.5,34.0,23.0
2025-01-16,28.5,37.0,20.0
2025-01-17,38.0,46.0,30.0
2025-01-18,40.0,46.0,34.0
2025-01-19,34.5,41.0,28.0
2025-01-20,23.0,29.0,17.0
2025-01-21,20.0,24.0,16.0
2025-01-22,20.0,25.0,15.0
2025-01-23,23.0,31.0,15.0
2025-01-24,30.5,41.0,20.0
2025-01-25,32.0,42.0,22.0
2025-01-26,41.0,51.0,31.0
2025-01-27,39.0,51.0,27.0
2025-01-28,43.5,54.0,33.0
2025-01-29,51.5,64.0,39.0
2025-01-30,43.5,54.0,33.0
2025-01-31,47.5,54.0,41.0
2025-02-01,42.5,53.0,32.0
2025-02-02,33.5,40.0,27.0
2025-02-03,43.0,53.0,33.0
2025-02-04,52.0,64.0,40.0
2025-02-05,37.5,41.0,34.0
2025-02-06,41.0,48.0,34.0
2025-02-07,46.0,54.0,38.0
2025-02-08,35.5,38.0,33.0
2025-02-09,41.0,48.0,34.0
2025-02-10,41.5,47.0,36.0
2025-02-11,35.0,39.0,31.0
2025-02-12,34.5,37.0,32.0
2025-02-13,46.5,57.0,36.0
2025-02-14,38.5,44.0,33.0
2025-02-15,38.0,41.0,35.0
2025-02-16,52.5,66.0,39.0
2025-02-17,38.0,44.0,32.0
2025-02-18,30.5,38.0,23.0
2025-02-19,24.0,27.0,21.0
2025-02-20,28.0,32.0,24.0
2025-02-21,34.0,41.0,27.0
2025-02-22,33.5,43.0,24.0
2025-02-23,40.5,54.0,27.0
2025-02-24,46.5,58.0,35.0
2025-02-25,53.5,69.0,38.0
2025-02-26,52.5,68.0,37.0
2025-02-27,57.5,68.0,47.0
2025-02-28,52.0,58.0,46.0
2025-03-01,49.5,69.0,30.0
2025-03-02,32.5,42.0,23.0
2025-03-03,38.5,47.0,30.0
2025-03-04,50.5,65.0,36.0
2025-03-05,58.0,63.0,53.0
2025-03-06,49.0,57.0,41.0
2025-03-07,47.5,57.0,38.0
2025-03-08,46.5,54.0,39.0
2025-03-09,48.0,62.0,34.0
2025-03-10,54.5,67.0,42.0
2025-03-11,57.0,73.0,41.0
2025-03-12,56.0,67.0,45.0
2025-03-13,49.5,54.0,45.0
2025-03-14,47.5,51.0,44.0
2025-03-15,53.5,61.0,46.0
2025-03-16,64.5,74.0,55.0
2025-03-17,50.0,59.0,41.0
2025-03-18,54.0,69.0,39.0
2025-03-19,60.0,76.0,44.0
2025-03-20,65.0,79.0,51.0
2025-03-21,51.0,61.0,41.0
2025-03-22,57.0,69.0,45.0
2025-03-23,50.0,60.0,40.0
2025-03-24,54.5,60.0,49.0
2025-03-25,58.5,66.0,51.0
2025-03-26,49.0,56.0,42.0
2025-03-27,49.5,61.0,38.0
2025-03-28,61.0,75.0,47.0
2025-03-29,73.0,86.0,60.0
2025-03-30,74.0,83.0,65.0
2025-03-31,73.0,85.0,61.0
2025-04-01,53.5,61.0,46.0
2025-04-02,53.5,61.0,46.0
2025-04-03,68.0,81.0,55.0
2025-04-04,70.5,77.0,64.0
2025-04-05,70.5,81.0,60.0
2025-04-06,60.0,65.0,55.0
2025-04-07,51.0,56.0,46.0
2025-04-08,44.5,51.0,38.0
2025-04-09,44.5,55.0,34.0
2025-04-10,54.0,61.0,47.0
2025-04-11,49.0,50.0,48.0
2025-04-12,50.5,55.0,46.0
2025-04-13,56.5,64.0,49.0
2025-04-14,62.0,74.0,50.0
2025-04-15,62.0,71.0,53.0
2025-04-16,56.0,63.0,49.0
2025-04-17,55.5,67.0,44.0
2025-04-18,65.0,81.0,49.0
2025-04-19,75.0,83.0,67.0
2025-04-20,70.0,78.0,62.0
2025-04-21,68.0,77.0,59.0
2025-04-22,73.0,83.0,63.0
2025-04-23,68.0,80.0,56.0
2025-04-24,67.5,79.0,56.0
2025-04-25,68.5,80.0,57.0
2025-04-26,66.0,77.0,55.0
2025-04-27,61.0,72.0,50.0
2025-04-28,62.0,74.0,50.0
2025-04-29,70.0,84.0,56.0
2025-04-30,74.5,83.0,66.0
2025-05-01,72.0,83.0,61.0
2025-05-02,76.5,84.0,69.0
2025-05-03,75.0,84.0,66.0
2025-05-04,69.5,74.0,65.0
2025-05-05,69.0,75.0,63.0
2025-05-06,68.0,74.0,62.0
2025-05-07,66.5,74.0,59.0
2025-05-08,69.5,79.0,60.0
2025-05-09,58.5,66.0,51.0
2025-05-10,61.5,74.0,49.0
2025-05-11,68.0,80.0,56.0
2025-05-12,69.0,78.0,60.0
2025-05-13,65.5,68.0,63.0
2025-05-14,69.0,75.0,63.0
2025-05-15,72.5,79.0,66.0
2025-05-16,76.5,87.0,66.0
2025-05-17,76.5,87.0,66.0
2025-05-18,73.0,78.0,68.0
2025-05-19,69.0,77.0,61.0
2025-05-20,62.5,70.0,55.0
2025-05-21,58.5,62.0,55.0
2025-05-22,62.5,69.0,56.0
2025-05-23,62.5,70.0,55.0
2025-05-24,61.5,71.0,52.0
2025-05-25,62.5,73.0,52.0
2025-05-26,65.0,71.0,59.0
