date,year,tmax,tmin,temp,location,tavg,doy,month,season_year
2026-01-01,2026,2.778,-7.778,-2.5,liestal,-2.5,1,1,2026
2026-01-02,2026,2.778,-5.0,-1.111,liestal,-1.111,2,1,2026
2026-01-03,2026,2.222,-5.0,-1.389,liestal,-1.389,3,1,2026
2026-01-04,2026,2.222,-6.111,-1.944,liestal,-1.944,4,1,2026
2026-01-05,2026,1.111,-7.778,-3.333,liestal,-3.333,5,1,2026
2026-01-06,2026,-2.222,-8.889,-5.556,liestal,-5.556,6,1,2026
2026-01-07,2026,0.0,-7.778,-3.889,liestal,-3.889,7,1,2026
2026-01-08,2026,2.222,-2.222,0.0,liestal,0.0,8,1,2026
2026-01-09,2026,8.889,3.889,6.389,liestal,6.389,9,1,2026
2026-01-10,2026,3.889,1.111,2.5,liestal,2.5,10,1,2026
2026-01-11,2026,1.111,-1.111,0.0,liestal,0.0,11,1,2026
2026-01-12,2026,6.111,-1.111,2.5,liestal,2.5,12,1,2026
2026-01-13,2026,11.111,1.111,6.111,liestal,6.111,13,1,2026
2026-01-14,2026,11.111,0.0,5.556,liestal,5.556,14,1,2026
2026-01-15,2026,13.889,5.0,9.444,liestal,9.444,15,1,2026
2026-01-16,2026,11.111,2.222,6.667,liestal,6.667,16,1,2026
2026-01-17,2026,11.111,1.111,6.111,liestal,6.111,17,1,2026
2026-01-18,2026,2.222,1.111,1.667,liestal,1.667,18,1,2026
2026-01-19,2026,7.222,-2.222,2.5,liestal,2.5,19,1,2026
2026-01-20,2026,10.0,-1.111,4.444,liestal,4.444,20,1,2026
2026-01-21,2026,5.0,-1.111,1.944,liestal,1.944,21,1,2026
2026-01-22,2026,5.0,-2.222,1.389,liestal,1.389,22,1,2026
2026-01-23,2026,5.0,-1.111,1.944,liestal,1.944,23,1,2026
2026-01-24,2026,5.0,-1.111,1.944,liestal,1.944,24,1,2026
2026-01-25,2026,7.222,2.222,4.722,liestal,4.722,25,1,2026
2026-01-26,2026,7.222,-2.222,2.5,liestal,2.5,26,1,2026
2026-01-27,2026,7.222,-2.778,2.222,liestal,2.222,27,1,2026
2026-01-28,2026,5.0,2.778,3.889,liestal,3.889,28,1,2026
2026-01-29,2026,7.222,0.0,3.611,liestal,3.611,29,1,2026
2026-01-30,2026,5.0,-1.111,1.944,liestal,1.944,30,1,2026
2026-01-31,2026,7.778,0.0,3.889,liestal,3.889,31,1,2026
2026-02-01,2026,8.889,2.222,5.556,liestal,5.556,32,2,2026
2026-02-02,2026,7.778,3.889,5.833,liestal,5.833,33,2,2026
2026-02-03,2026,11.111,2.778,6.944,liestal,6.944,34,2,2026
2026-02-04,2026,5.0,-1.111,1.944,liestal,1.944,35,2,2026
2026-02-05,2026,10.0,-1.111,4.444,liestal,4.444,36,2,2026
2026-02-06,2026,12.222,2.222,7.222,liestal,7.222,37,2,2026
2026-02-07,2026,13.889,1.111,7.5,liestal,7.5,38,2,2026
2026-02-08,2026,7.778,-1.111,3.333,liestal,3.333,39,2,2026
2026-02-09,2026,10.0,2.222,6.111,liestal,6.111,40,2,2026
2026-02-10,2026,8.889,2.778,5.833,liestal,5.833,41,2,2026
2026-02-11,2026,12.778,7.778,10.278,liestal,10.278,42,2,2026
