date,year,tmax,tmin,temp,location,tavg,doy,month,season_year
2026-01-01,2026,2.222,-5.556,-1.667,newyork,-1.667,1,1,2026
2026-01-02,2026,-1.111,-6.667,-3.889,newyork,-3.889,2,1,2026
2026-01-03,2026,-1.111,-5.0,-3.056,newyork,-3.056,3,1,2026
2026-01-04,2026,1.667,-3.333,-0.833,newyork,-0.833,4,1,2026
2026-01-05,2026,3.889,-1.667,1.111,newyork,1.111,5,1,2026
2026-01-06,2026,5.556,1.667,3.611,newyork,3.611,6,1,2026
2026-01-07,2026,9.444,2.778,6.111,newyork,6.111,7,1,2026
2026-01-08,2026,10.0,5.556,7.778,newyork,7.778,8,1,2026
2026-01-09,2026,12.222,3.889,8.056,newyork,8.056,9,1,2026
2026-01-10,2026,11.111,3.889,7.5,newyork,7.5,10,1,2026
2026-01-11,2026,8.333,1.111,4.722,newyork,4.722,11,1,2026
2026-01-12,2026,5.0,-0.556,2.222,newyork,2.222,12,1,2026
2026-01-13,2026,8.889,1.667,5.278,newyork,5.278,13,1,2026
2026-01-14,2026,11.111,7.222,9.167,newyork,9.167,14,1,2026
2026-01-15,2026,8.333,-4.444,1.944,newyork,1.944,15,1,2026
2026-01-16,2026,1.111,-5.556,-2.222,newyork,-2.222,16,1,2026
2026-01-17,2026,3.889,-0.556,1.667,newyork,1.667,17,1,2026
2026-01-18,2026,2.222,-1.111,0.556,newyork,0.556,18,1,2026
2026-01-19,2026,0.0,-5.556,-2.778,newyork,-2.778,19,1,2026
2026-01-20,2026,-3.333,-8.889,-6.111,newyork,-6.111,20,1,2026
2026-01-21,2026,4.444,-8.333,-1.944,newyork,-1.944,21,1,2026
2026-01-22,2026,8.333,2.778,5.556,newyork,5.556,22,1,2026
2026-01-23,2026,3.333,-10.0,-3.333,newyork,-3.333,23,1,2026
2026-01-24,2026,-8.333,-12.778,-10.556,newyork,-10.556,24,1,2026
2026-01-25,2026,-5.556,-12.222,-8.889,newyork,-8.889,25,1,2026
2026-01-26,2026,-2.778,-8.333,-5.556,newyork,-5.556,26,1,2026
2026-01-27,2026,-5.556,-9.444,-7.5,newyork,-7.5,27,1,2026
2026-01-28,2026,-5.0,-10.0,-7.5,newyork,-7.5,28,1,2026
2026-01-29,2026,-5.0,-11.667,-8.333,newyork,-8.333,29,1,2026
2026-01-30,2026,-7.778,-12.778,-10.278,newyork,-10.278,30,1,2026
2026-01-31,2026,-4.444,-12.222,-8.333,newyork,-8.333,31,1,2026
2026-02-01,2026,-4.444,-12.222,-8.333,newyork,-8.333,32,2,2026
2026-02-02,2026,1.667,-10.0,-4.167,newyork,-4.167,33,2,2026
2026-02-03,2026,0.556,-5.0,-2.222,newyork,-2.222,34,2,2026
2026-02-04,2026,0.556,-3.333,-1.389,newyork,-1.389,35,2,2026
2026-02-05,2026,0.0,-6.667,-3.333,newyork,-3.333,36,2,2026
2026-02-06,2026,0.556,-5.0,-2.222,newyork,-2.222,37,2,2026
2026-02-07,2026,-2.778,-14.444,-8.611,newyork,-8.611,38,2,2026
2026-02-08,2026,-7.778,-16.111,-11.944,newyork,-11.944,39,2,2026
2026-02-09,2026,-0.556,-12.222,-6.389,newyork,-6.389,40,2,2026
2026-02-10,2026,2.778,-4.444,-0.833,newyork,-0.833,41,2,2026
2026-02-11,2026,5.0,0.556,2.778,newyork,2.778,42,2,2026
2026-02-12,2026,2.222,-2.778,-0.278,newyork,-0.278,43,2,2026
2026-02-13,2026,3.333,-5.556,-1.111,newyork,-1.111,44,2,2026
2026-02-14,2026,7.778,-1.667,3.056,newyork,3.056,45,2,2026
2026-02-15,2026,4.444,0.0,2.222,newyork,2.222,46,2,2026
2026-02-16,2026,3.889,-1.667,1.111,newyork,1.111,47,2,2026
2026-02-17,2026,8.333,1.667,5.0,newyork,5.0,48,2,2026
2026-02-18,2026,5.0,2.778,3.889,newyork,3.889,49,2,2026
2026-02-19,2026,5.556,2.222,3.889,newyork,3.889,50,2,2026
2026-02-20,2026,2.778,1.111,1.944,newyork,1.944,51,2,2026
2026-02-21,2026,7.778,2.222,5.0,newyork,5.0,52,2,2026
2026-02-22,2026,3.889,-1.111,1.389,newyork,1.389,53,2,2026
2026-02-23,2026,1.667,-2.222,-0.278,newyork,-0.278,54,2,2026
2026-02-24,2026,0.0,-4.444,-2.222,newyork,-2.222,55,2,2026
2026-02-25,2026,5.556,0.0,2.778,newyork,2.778,56,2,2026
2026-02-26,2026,3.333,-1.111,1.111,newyork,1.111,57,2,2026
2026-02-27,2026,4.444,-0.556,1.944,newyork,1.944,58,2,2026
2026-02-28,2026,8.333,1.111,4.722,newyork,4.722,59,2,2026
2026-03-01,2026,5.556,-6.667,-0.556,newyork,-0.556,60,3,2026
2026-03-02,2026,0.0,-8.333,-4.167,newyork,-4.167,61,3,2026
2026-03-03,2026,0.0,-1.667,-0.833,newyork,-0.833,62,3,2026
2026-03-04,2026,6.111,-1.111,2.5,newyork,2.5,63,3,2026
2026-03-05,2026,2.222,-5.556,-1.667,newyork,-1.667,64,3,2026
2026-03-06,2026,3.333,0.556,1.944,newyork,1.944,65,3,2026
2026-03-07,2026,8.333,6.111,7.222,newyork,7.222,66,3,2026
2026-03-08,2026,11.111,6.111,8.611,newyork,8.611,67,3,2026
2026-03-09,2026,12.222,1.667,6.944,newyork,6.944,68,3,2026
2026-03-10,2026,5.556,2.778,4.167,newyork,4.167,69,3,2026
2026-03-11,2026,7.778,5.0,6.389,newyork,6.389,70,3,2026
2026-03-12,2026,12.778,3.889,8.333,newyork,8.333,71,3,2026
2026-03-13,2026,11.667,3.333,7.5,newyork,7.5,72,3,2026
2026-03-14,2026,11.667,5.0,8.333,newyork,8.333,73,3,2026
2026-03-15,2026,12.778,6.111,9.444,newyork,9.444,74,3,2026
2026-03-16,2026,12.778,6.111,9.444,newyork,9.444,75,3,2026
2026-03-17,2026,13.889,5.0,9.444,newyork,9.444,76,3,2026
2026-03-18,2026,10.556,3.333,6.944,newyork,6.944,77,3,2026
2026-03-19,2026,9.444,1.111,5.278,newyork,5.278,78,3,2026
2026-03-20,2026,12.222,5.556,8.889,newyork,8.889,79,3,2026
2026-03-21,2026,13.333,6.111,9.722,newyork,9.722,80,3,2026
2026-03-22,2026,13.889,2.778,8.333,newyork,8.333,81,3,2026
2026-03-23,2026,7.778,0.0,3.889,newyork,3.889,82,3,2026
2026-03-24,2026,7.222,0.556,3.889,newyork,3.889,83,3,2026
2026-03-25,2026,8.333,6.667,7.5,newyork,7.5,84,3,2026
2026-03-26,2026,14.444,7.222,10.833,newyork,10.833,85,3,2026
2026-03-27,2026,15.0,6.667,10.833,newyork,10.833,86,3,2026
2026-03-28,2026,9.444,4.444,6.944,newyork,6.944,87,3,2026
2026-03-29,2026,13.889,6.667,10.278,newyork,10.278,88,3,2026
2026-03-30,2026,13.333,7.778,10.556,newyork,10.556,89,3,2026
2026-03-31,2026,15.556,7.778,11.667,newyork,11.667,90,3,2026
2026-04-01,2026,15.0,3.889,9.444,newyork,9.444,91,4,2026
2026-04-02,2026,9.444,3.889,6.667,newyork,6.667,92,4,2026
2026-04-03,2026,10.0,6.667,8.333,newyork,8.333,93,4,2026
2026-04-04,2026,12.778,5.0,8.889,newyork,8.889,94,4,2026
2026-04-05,2026,11.667,3.889,7.778,newyork,7.778,95,4,2026
2026-04-06,2026,16.667,2.778,9.722,newyork,9.722,96,4,2026
2026-04-07,2026,17.222,2.778,10.0,newyork,10.0,97,4,2026
2026-04-08,2026,15.556,3.889,9.722,newyork,9.722,98,4,2026
2026-04-09,2026,12.222,3.333,7.778,newyork,7.778,99,4,2026
2026-04-10,2026,12.778,3.333,8.056,newyork,8.056,100,4,2026
2026-04-11,2026,13.333,3.889,8.611,newyork,8.611,101,4,2026
2026-04-12,2026,13.333,6.111,9.722,newyork,9.722,102,4,2026
2026-04-13,2026,14.444,5.0,9.722,newyork,9.722,103,4,2026
2026-04-14,2026,13.889,4.444,9.167,newyork,9.167,104,4,2026
2026-04-15,2026,13.889,6.667,10.278,newyork,10.278,105,4,2026
2026-04-16,2026,14.444,7.778,11.111,newyork,11.111,106,4,2026
2026-04-17,2026,14.444,6.111,10.278,newyork,10.278,107,4,2026
2026-04-18,2026,14.444,10.556,12.5,newyork,12.5,108,4,2026
2026-04-19,2026,17.222,10.556,13.889,newyork,13.889,109,4,2026
2026-04-20,2026,17.778,5.556,11.667,newyork,11.667,110,4,2026
2026-04-21,2026,17.222,5.556,11.389,newyork,11.389,111,4,2026
2026-04-22,2026,15.556,5.0,10.278,newyork,10.278,112,4,2026
2026-04-23,2026,15.0,6.667,10.833,newyork,10.833,113,4,2026
2026-04-24,2026,15.556,6.111,10.833,newyork,10.833,114,4,2026
2026-04-25,2026,16.111,6.111,11.111,newyork,11.111,115,4,2026
2026-04-26,2026,16.111,12.222,14.167,newyork,14.167,116,4,2026
2026-04-27,2026,16.667,12.778,14.722,newyork,14.722,117,4,2026
2026-04-28,2026,21.667,12.222,16.944,newyork,16.944,118,4,2026
2026-04-29,2026,18.889,12.778,15.833,newyork,15.833,119,4,2026
2026-04-30,2026,20.0,6.667,13.333,newyork,13.333,120,4,2026
2026-05-01,2026,19.444,6.111,12.778,newyork,12.778,121,5,2026
2026-05-02,2026,16.111,6.667,11.389,newyork,11.389,122,5,2026
2026-05-03,2026,15.556,7.222,11.389,newyork,11.389,123,5,2026
2026-05-04,2026,16.667,9.444,13.056,newyork,13.056,124,5,2026
2026-05-05,2026,18.333,10.556,14.444,newyork,14.444,125,5,2026
2026-05-06,2026,18.333,8.889,13.611,newyork,13.611,126,5,2026
2026-05-07,2026,17.778,11.667,14.722,newyork,14.722,127,5,2026
2026-05-08,2026,19.444,10.556,15.0,newyork,15.0,128,5,2026
2026-05-09,2026,23.333,11.667,17.5,newyork,17.5,129,5,2026
2026-05-10,2026,22.222,13.889,18.056,newyork,18.056,130,5,2026
2026-05-11,2026,23.333,14.444,18.889,newyork,18.889,131,5,2026
2026-05-12,2026,20.556,13.333,16.944,newyork,16.944,132,5,2026
2026-05-13,2026,21.667,15.0,18.333,newyork,18.333,133,5,2026
2026-05-14,2026,20.0,10.556,15.278,newyork,15.278,134,5,2026
2026-05-15,2026,22.778,9.444,16.111,newyork,16.111,135,5,2026
2026-05-16,2026,20.556,11.111,15.833,newyork,15.833,136,5,2026
2026-05-17,2026,20.0,10.556,15.278,newyork,15.278,137,5,2026
2026-05-18,2026,18.889,10.556,14.722,newyork,14.722,138,5,2026
2026-05-19,2026,21.111,11.111,16.111,newyork,16.111,139,5,2026
2026-05-20,2026,20.556,12.222,16.389,newyork,16.389,140,5,2026
2026-05-21,2026,20.0,11.667,15.833,newyork,15.833,141,5,2026
2026-05-22,2026,20.556,10.556,15.556,newyork,15.556,142,5,2026
2026-05-23,2026,20.556,15.556,18.056,newyork,18.056,143,5,2026
2026-05-24,2026,22.222,11.667,16.944,newyork,16.944,144,5,2026
2026-05-25,2026,26.111,11.667,18.889,newyork,18.889,145,5,2026
2026-05-26,2026,25.556,11.667,18.611,newyork,18.611,146,5,2026
