date,year,tmax,tmin,temp,location,tavg,doy,month,season_year
2026-01-01,2026,5.0,0.556,2.778,vancouver,2.778,1,1,2026
2026-01-02,2026,7.778,4.444,6.111,vancouver,6.111,2,1,2026
2026-01-03,2026,8.333,5.0,6.667,vancouver,6.667,3,1,2026
2026-01-04,2026,11.111,6.111,8.611,vancouver,8.611,4,1,2026
2026-01-05,2026,10.0,0.0,5.0,vancouver,5.0,5,1,2026
2026-01-06,2026,8.889,2.222,5.556,vancouver,5.556,6,1,2026
2026-01-07,2026,7.222,3.333,5.278,vancouver,5.278,7,1,2026
2026-01-08,2026,8.333,1.667,5.0,vancouver,5.0,8,1,2026
2026-01-09,2026,10.0,1.111,5.556,vancouver,5.556,9,1,2026
2026-01-10,2026,10.556,0.0,5.278,vancouver,5.278,10,1,2026
2026-01-11,2026,10.556,5.556,8.056,vancouver,8.056,11,1,2026
2026-01-12,2026,12.778,0.556,6.667,vancouver,6.667,12,1,2026
2026-01-13,2026,10.556,-1.667,4.444,vancouver,4.444,13,1,2026
2026-01-14,2026,7.222,-1.111,3.056,vancouver,3.056,14,1,2026
2026-01-15,2026,14.444,1.111,7.778,vancouver,7.778,15,1,2026
2026-01-16,2026,11.667,-2.222,4.722,vancouver,4.722,16,1,2026
2026-01-17,2026,10.556,-2.778,3.889,vancouver,3.889,17,1,2026
2026-01-18,2026,8.333,-3.889,2.222,vancouver,2.222,18,1,2026
2026-01-19,2026,8.889,-4.444,2.222,vancouver,2.222,19,1,2026
2026-01-20,2026,8.333,-5.556,1.389,vancouver,1.389,20,1,2026
2026-01-21,2026,7.222,-5.556,0.833,vancouver,0.833,21,1,2026
2026-01-22,2026,5.556,-6.111,-0.278,vancouver,-0.278,22,1,2026
2026-01-23,2026,7.222,-2.778,2.222,vancouver,2.222,23,1,2026
2026-01-24,2026,7.778,-6.667,0.556,vancouver,0.556,24,1,2026
2026-01-25,2026,7.222,-7.778,-0.278,vancouver,-0.278,25,1,2026
2026-01-26,2026,8.889,-2.778,3.056,vancouver,3.056,26,1,2026
2026-01-27,2026,7.778,-2.778,2.5,vancouver,2.5,27,1,2026
2026-01-28,2026,8.333,3.333,5.833,vancouver,5.833,28,1,2026
2026-01-29,2026,8.889,5.556,7.222,vancouver,7.222,29,1,2026
2026-01-30,2026,9.444,6.667,8.056,vancouver,8.056,30,1,2026
2026-01-31,2026,15.556,3.889,9.722,vancouver,9.722,31,1,2026
2026-02-01,2026,14.444,5.0,9.722,vancouver,9.722,32,2,2026
2026-02-02,2026,11.111,5.0,8.056,vancouver,8.056,33,2,2026
2026-02-03,2026,13.333,2.222,7.778,vancouver,7.778,34,2,2026
2026-02-04,2026,14.444,1.667,8.056,vancouver,8.056,35,2,2026
2026-02-05,2026,15.0,-1.111,6.944,vancouver,6.944,36,2,2026
2026-02-06,2026,13.889,-0.556,6.667,vancouver,6.667,37,2,2026
2026-02-07,2026,11.667,5.556,8.611,vancouver,8.611,38,2,2026
2026-02-08,2026,11.111,6.667,8.889,vancouver,8.889,39,2,2026
2026-02-09,2026,12.222,1.667,6.944,vancouver,6.944,40,2,2026
2026-02-10,2026,13.889,0.556,7.222,vancouver,7.222,41,2,2026
2026-02-11,2026,14.444,-2.222,6.111,vancouver,6.111,42,2,2026
