date,year,tmax,tmin,temp,location,tavg,doy,month,season_year
2026-01-01,2026,3.333,-2.778,0.278,washington,0.278,1,1,2026
2026-01-02,2026,3.889,-2.222,0.833,washington,0.833,2,1,2026
2026-01-03,2026,2.222,-2.778,-0.278,washington,-0.278,3,1,2026
2026-01-04,2026,6.111,-1.111,2.5,washington,2.5,4,1,2026
2026-01-05,2026,5.0,-2.222,1.389,washington,1.389,5,1,2026
2026-01-06,2026,10.0,0.556,5.278,washington,5.278,6,1,2026
2026-01-07,2026,17.222,2.222,9.722,washington,9.722,7,1,2026
2026-01-08,2026,12.778,0.556,6.667,washington,6.667,8,1,2026
2026-01-09,2026,10.556,2.778,6.667,washington,6.667,9,1,2026
2026-01-10,2026,11.111,6.667,8.889,washington,8.889,10,1,2026
2026-01-11,2026,9.444,1.667,5.556,washington,5.556,11,1,2026
2026-01-12,2026,9.444,1.111,5.278,washington,5.278,12,1,2026
2026-01-13,2026,11.667,-1.111,5.278,washington,5.278,13,1,2026
2026-01-14,2026,11.111,6.667,8.889,washington,8.889,14,1,2026
2026-01-15,2026,7.222,-5.0,1.111,washington,1.111,15,1,2026
2026-01-16,2026,3.889,-5.0,-0.556,washington,-0.556,16,1,2026
2026-01-17,2026,6.111,1.667,3.889,washington,3.889,17,1,2026
2026-01-18,2026,3.333,-2.778,0.278,washington,0.278,18,1,2026
2026-01-19,2026,5.556,-5.0,0.278,washington,0.278,19,1,2026
2026-01-20,2026,1.111,-7.222,-3.056,washington,-3.056,20,1,2026
2026-01-21,2026,6.111,-7.222,-0.556,washington,-0.556,21,1,2026
2026-01-22,2026,13.333,3.333,8.333,washington,8.333,22,1,2026
2026-01-23,2026,8.889,-6.667,1.111,washington,1.111,23,1,2026
2026-01-24,2026,-5.556,-12.222,-8.889,washington,-8.889,24,1,2026
2026-01-25,2026,-1.667,-8.889,-5.278,washington,-5.278,25,1,2026
2026-01-26,2026,-2.222,-7.778,-5.0,washington,-5.0,26,1,2026
2026-01-27,2026,-0.556,-10.556,-5.556,washington,-5.556,27,1,2026
2026-01-28,2026,-3.333,-9.444,-6.389,washington,-6.389,28,1,2026
2026-01-29,2026,-3.889,-10.0,-6.944,washington,-6.944,29,1,2026
2026-01-30,2026,-6.111,-10.556,-8.333,washington,-8.333,30,1,2026
2026-01-31,2026,-5.556,-11.667,-8.611,washington,-8.611,31,1,2026
2026-02-01,2026,-3.333,-10.0,-6.667,washington,-6.667,32,2,2026
2026-02-02,2026,1.667,-6.111,-2.222,washington,-2.222,33,2,2026
2026-02-03,2026,6.111,-6.111,0.0,washington,0.0,34,2,2026
2026-02-04,2026,3.889,-1.111,1.389,washington,1.389,35,2,2026
2026-02-05,2026,1.667,-6.667,-2.5,washington,-2.5,36,2,2026
2026-02-06,2026,0.556,-7.778,-3.611,washington,-3.611,37,2,2026
2026-02-07,2026,1.111,-8.333,-3.611,washington,-3.611,38,2,2026
2026-02-08,2026,-3.889,-10.0,-6.944,washington,-6.944,39,2,2026
2026-02-09,2026,1.111,-9.444,-4.167,washington,-4.167,40,2,2026
2026-02-10,2026,7.778,-1.667,3.056,washington,3.056,41,2,2026
2026-02-11,2026,8.889,2.222,5.556,washington,5.556,42,2,2026
2026-02-12,2026,3.333,-1.111,1.111,washington,1.111,43,2,2026
2026-02-13,2026,3.333,-3.333,0.0,washington,0.0,44,2,2026
2026-02-14,2026,13.889,-3.333,5.278,washington,5.278,45,2,2026
2026-02-15,2026,8.333,1.111,4.722,washington,4.722,46,2,2026
2026-02-16,2026,7.778,2.222,5.0,washington,5.0,47,2,2026
2026-02-17,2026,8.889,1.667,5.278,washington,5.278,48,2,2026
2026-02-18,2026,10.556,2.222,6.389,washington,6.389,49,2,2026
2026-02-19,2026,6.667,1.667,4.167,washington,4.167,50,2,2026
2026-02-20,2026,12.222,2.778,7.5,washington,7.5,51,2,2026
2026-02-21,2026,12.778,2.778,7.778,washington,7.778,52,2,2026
2026-02-22,2026,4.444,0.556,2.5,washington,2.5,53,2,2026
2026-02-23,2026,5.556,0.0,2.778,washington,2.778,54,2,2026
2026-02-24,2026,4.444,1.111,2.778,washington,2.778,55,2,2026
2026-02-25,2026,12.222,2.778,7.5,washington,7.5,56,2,2026
2026-02-26,2026,10.556,1.667,6.111,washington,6.111,57,2,2026
2026-02-27,2026,10.556,1.667,6.111,washington,6.111,58,2,2026
2026-02-28,2026,17.778,3.333,10.556,washington,10.556,59,2,2026
2026-03-01,2026,11.667,-2.222,4.722,washington,4.722,60,3,2026
2026-03-02,2026,1.667,-3.333,-0.833,washington,-0.833,61,3,2026
2026-03-03,2026,5.556,1.111,3.333,washington,3.333,62,3,2026
2026-03-04,2026,11.667,3.889,7.778,washington,7.778,63,3,2026
2026-03-05,2026,10.556,0.556,5.556,washington,5.556,64,3,2026
2026-03-06,2026,10.0,1.667,5.833,washington,5.833,65,3,2026
2026-03-07,2026,16.111,7.222,11.667,washington,11.667,66,3,2026
2026-03-08,2026,16.667,6.667,11.667,washington,11.667,67,3,2026
2026-03-09,2026,17.222,1.111,9.167,washington,9.167,68,3,2026
2026-03-10,2026,7.778,5.0,6.389,washington,6.389,69,3,2026
2026-03-11,2026,15.0,5.556,10.278,washington,10.278,70,3,2026
2026-03-12,2026,15.556,5.0,10.278,washington,10.278,71,3,2026
2026-03-13,2026,16.111,5.0,10.556,washington,10.556,72,3,2026
2026-03-14,2026,16.111,6.667,11.389,washington,11.389,73,3,2026
2026-03-15,2026,16.667,7.222,11.944,washington,11.944,74,3,2026
2026-03-16,2026,16.111,6.667,11.389,washington,11.389,75,3,2026
2026-03-17,2026,16.667,4.444,10.556,washington,10.556,76,3,2026
2026-03-18,2026,10.556,3.889,7.222,washington,7.222,77,3,2026
2026-03-19,2026,13.889,3.333,8.611,washington,8.611,78,3,2026
2026-03-20,2026,16.111,6.667,11.389,washington,11.389,79,3,2026
2026-03-21,2026,17.222,6.667,11.944,washington,11.944,80,3,2026
2026-03-22,2026,17.778,1.667,9.722,washington,9.722,81,3,2026
2026-03-23,2026,10.0,0.556,5.278,washington,5.278,82,3,2026
2026-03-24,2026,10.556,1.111,5.833,washington,5.833,83,3,2026
2026-03-25,2026,13.333,6.667,10.0,washington,10.0,84,3,2026
2026-03-26,2026,17.778,7.222,12.5,washington,12.5,85,3,2026
2026-03-27,2026,17.778,5.556,11.667,washington,11.667,86,3,2026
2026-03-28,2026,11.667,3.333,7.5,washington,7.5,87,3,2026
2026-03-29,2026,15.0,7.778,11.389,washington,11.389,88,3,2026
2026-03-30,2026,16.667,8.333,12.5,washington,12.5,89,3,2026
2026-03-31,2026,19.444,9.444,14.444,washington,14.444,90,3,2026
2026-04-01,2026,19.444,7.778,13.611,washington,13.611,91,4,2026
2026-04-02,2026,12.778,6.111,9.444,washington,9.444,92,4,2026
2026-04-03,2026,14.444,7.222,10.833,washington,10.833,93,4,2026
2026-04-04,2026,14.444,5.0,9.722,washington,9.722,94,4,2026
2026-04-05,2026,13.333,4.444,8.889,washington,8.889,95,4,2026
2026-04-06,2026,21.111,3.889,12.5,washington,12.5,96,4,2026
