date,tavg,tmax,tmin
1958-01-01,38.5,46.0,31.0
1958-01-02,42.0,47.0,37.0
1958-01-03,46.5,49.0,44.0
1958-01-04,46.5,49.0,44.0
1958-01-05,45.5,48.0,43.0
1958-01-06,39.0,42.0,36.0
1958-01-07,44.0,50.0,38.0
1958-01-08,44.5,46.0,43.0
1958-01-09,43.0,47.0,39.0
1958-01-10,44.5,47.0,42.0
1958-01-11,44.0,48.0,40.0
1958-01-12,43.0,45.0,41.0
1958-01-13,41.5,45.0,38.0
1958-01-14,44.5,49.0,40.0
1958-01-15,48.0,52.0,44.0
1958-01-16,48.0,51.0,45.0
1958-01-17,45.5,48.0,43.0
1958-01-18,42.5,45.0,40.0
1958-01-19,41.0,45.0,37.0
1958-01-20,42.0,46.0,38.0
1958-01-21,40.0,43.0,37.0
1958-01-22,42.0,47.0,37.0
1958-01-23,44.5,47.0,42.0
1958-01-24,44.5,47.0,42.0
1958-01-25,44.5,47.0,42.0
1958-01-26,43.5,48.0,39.0
1958-01-27,45.5,50.0,41.0
1958-01-28,47.5,51.0,44.0
1958-01-29,42.5,45.0,40.0
1958-01-30,40.5,43.0,38.0
1958-01-31,43.0,47.0,39.0
1958-02-01,44.0,48.0,40.0
1958-02-02,42.5,47.0,38.0
1958-02-03,42.0,46.0,38.0
1958-02-04,43.5,49.0,38.0
1958-02-05,44.5,49.0,40.0
1958-02-06,46.5,50.0,43.0
1958-02-07,45.0,47.0,43.0
1958-02-08,47.0,50.0,44.0
1958-02-09,46.0,47.0,45.0
1958-02-10,46.0,49.0,43.0
1958-02-11,45.0,53.0,37.0
1958-02-12,43.0,44.0,42.0
1958-02-13,43.5,47.0,40.0
1958-02-14,44.0,47.0,41.0
1958-02-15,46.0,50.0,42.0
1958-02-16,46.5,50.0,43.0
1958-02-17,46.5,50.0,43.0
1958-02-18,50.5,55.0,46.0
1958-02-19,49.5,52.0,47.0
1958-02-20,50.0,55.0,45.0
1958-02-21,50.0,55.0,45.0
1958-02-22,49.5,53.0,46.0
1958-02-23,51.5,57.0,46.0
1958-02-24,51.5,54.0,49.0
1958-02-25,46.5,50.0,43.0
1958-02-26,45.0,50.0,40.0
1958-02-27,41.5,46.0,37.0
1958-02-28,41.0,46.0,36.0
1958-03-01,41.5,48.0,35.0
1958-03-02,40.5,46.0,35.0
1958-03-03,43.5,51.0,36.0
1958-03-04,42.0,46.0,38.0
1958-03-05,43.0,46.0,40.0
1958-03-06,40.5,46.0,35.0
1958-03-07,41.0,47.0,35.0
1958-03-08,42.0,47.0,37.0
1958-03-09,43.0,47.0,39.0
1958-03-10,40.5,47.0,34.0
1958-03-11,43.0,50.0,36.0
1958-03-12,45.0,52.0,38.0
1958-03-13,45.0,52.0,38.0
1958-03-14,43.5,51.0,36.0
1958-03-15,44.5,53.0,36.0
1958-03-16,47.0,52.0,42.0
1958-03-17,42.5,46.0,39.0
1958-03-18,43.5,47.0,40.0
1958-03-19,45.5,49.0,42.0
1958-03-20,49.0,57.0,41.0
1958-03-21,49.5,53.0,46.0
1958-03-22,52.5,60.0,45.0
1958-03-23,49.5,56.0,43.0
1958-03-24,47.5,51.0,44.0
1958-03-25,47.5,51.0,44.0
1958-03-26,48.5,54.0,43.0
1958-03-27,45.0,53.0,37.0
1958-03-28,47.0,56.0,38.0
1958-03-29,50.0,58.0,42.0
1958-03-30,46.0,51.0,41.0
1958-03-31,51.0,59.0,43.0
1958-05-01,52.5,60.0,45.0
1958-05-02,55.0,62.0,48.0
1958-05-03,57.0,64.0,50.0
1958-05-04,55.0,61.0,49.0
1958-05-05,55.5,62.0,49.0
1958-05-06,54.0,62.0,46.0
1958-05-07,54.5,62.0,47.0
1958-05-08,54.0,62.0,46.0
1958-05-09,54.5,62.0,47.0
1958-05-10,54.5,60.0,49.0
1958-05-11,53.5,59.0,48.0
1958-05-12,49.5,57.0,42.0
1958-05-13,53.5,63.0,44.0
1958-05-14,59.5,72.0,47.0
1958-05-15,61.0,72.0,50.0
1958-05-16,57.5,65.0,50.0
1958-05-17,61.0,73.0,49.0
1958-05-18,62.5,74.0,51.0
1958-05-19,57.5,65.0,50.0
1958-05-20,60.5,70.0,51.0
1958-05-21,61.5,71.0,52.0
1958-05-22,63.0,73.0,53.0
1958-05-23,64.0,73.0,55.0
1958-05-24,63.5,73.0,54.0
1958-05-25,65.0,74.0,56.0
1958-05-26,66.5,77.0,56.0
1958-05-27,65.5,73.0,58.0
1958-05-28,61.5,67.0,56.0
1958-05-29,61.0,66.0,56.0
1958-05-30,59.0,64.0,54.0
1958-05-31,57.0,60.0,54.0
1958-06-01,59.5,66.0,53.0
1958-06-02,61.5,71.0,52.0
1958-06-03,62.5,72.0,53.0
1958-06-04,63.5,70.0,57.0
1958-06-05,69.5,83.0,56.0
1958-06-06,65.5,71.0,60.0
1958-06-07,60.5,66.0,55.0
1958-06-08,63.0,71.0,55.0
1958-06-09,60.0,63.0,57.0
1958-06-10,59.5,63.0,56.0
1958-06-11,58.5,61.0,56.0
1958-06-12,61.0,66.0,56.0
1958-06-13,61.0,65.0,57.0
1958-06-14,64.0,70.0,58.0
1958-06-15,62.5,70.0,55.0
1958-06-16,67.5,78.0,57.0
1958-06-17,68.0,77.0,59.0
1958-06-18,69.0,79.0,59.0
1958-06-19,71.0,77.0,65.0
1958-06-20,67.0,73.0,61.0
1958-06-21,68.5,76.0,61.0
1958-06-22,68.0,76.0,60.0
1958-06-23,69.0,77.0,61.0
1958-06-24,61.0,64.0,58.0
1958-06-25,61.5,66.0,57.0
1958-06-26,65.5,74.0,57.0
1958-06-27,62.0,67.0,57.0
1958-06-28,58.0,64.0,52.0
1958-06-29,57.5,63.0,52.0
1958-06-30,60.5,65.0,56.0
1958-07-01,64.0,71.0,57.0
1958-07-02,66.0,76.0,56.0
1958-07-03,65.0,73.0,57.0
1958-07-04,68.5,77.0,60.0
1958-07-05,70.5,78.0,63.0
1958-07-06,72.0,83.0,61.0
1958-07-07,70.0,79.0,61.0
1958-07-08,65.0,70.0,60.0
1958-07-09,67.5,73.0,62.0
1958-07-10,68.0,74.0,62.0
1958-07-11,69.0,76.0,62.0
1958-07-12,66.5,71.0,62.0
1958-07-13,63.5,71.0,56.0
1958-07-14,69.5,81.0,58.0
1958-07-15,70.5,81.0,60.0
1958-07-16,69.0,76.0,62.0
1958-07-17,70.0,78.0,62.0
1958-07-18,67.5,74.0,61.0
1958-07-19,64.0,70.0,58.0
1958-07-20,65.0,71.0,59.0
1958-07-21,65.5,73.0,58.0
1958-07-22,67.0,74.0,60.0
1958-07-23,68.0,79.0,57.0
1958-07-24,68.0,78.0,58.0
1958-07-25,68.0,77.0,59.0
1958-07-26,69.5,78.0,61.0
1958-07-27,74.5,87.0,62.0
1958-07-28,72.5,83.0,62.0
1958-07-29,71.0,79.0,63.0
1958-07-30,66.0,73.0,59.0
1958-07-31,68.0,75.0,61.0
1958-08-01,63.5,70.0,57.0
1958-08-02,67.0,78.0,56.0
1958-08-03,63.5,71.0,56.0
1958-08-04,64.5,72.0,57.0
1958-08-05,67.0,77.0,57.0
1958-08-06,62.5,65.0,60.0
1958-08-07,65.5,71.0,60.0
1958-08-08,65.0,73.0,57.0
1958-08-09,65.0,74.0,56.0
1958-08-10,67.0,77.0,57.0
1958-08-11,68.5,79.0,58.0
1958-08-12,67.5,77.0,58.0
1958-08-13,68.0,76.0,60.0
1958-08-14,67.5,77.0,58.0
1958-08-15,66.5,75.0,58.0
1958-08-16,65.5,74.0,57.0
1958-08-17,64.0,71.0,57.0
1958-08-18,63.5,71.0,56.0
1958-08-19,64.5,74.0,55.0
1958-08-20,67.5,78.0,57.0
1958-08-21,67.5,77.0,58.0
1958-08-22,65.0,74.0,56.0
1958-08-23,66.0,74.0,58.0
1958-08-24,67.5,76.0,59.0
1958-08-25,66.0,75.0,57.0
1958-08-26,63.5,69.0,58.0
1958-08-27,59.0,62.0,56.0
1958-08-28,58.5,61.0,56.0
1958-08-29,58.0,66.0,50.0
1958-08-30,60.0,62.0,58.0
1958-08-31,60.5,64.0,57.0
1958-09-01,62.5,68.0,57.0
1958-09-02,61.0,66.0,56.0
1958-09-03,50.0,66.0,50.0
1958-09-04,58.0,66.0,50.0
1958-09-05,60.0,66.0,54.0
1958-09-06,62.0,71.0,53.0
1958-09-07,62.0,71.0,53.0
1958-09-08,62.5,68.0,57.0
1958-09-09,65.0,70.0,60.0
1958-09-10,63.0,68.0,58.0
1958-09-11,63.5,70.0,57.0
1958-09-12,61.0,68.0,54.0
1958-09-13,61.0,68.0,54.0
1958-09-14,59.5,65.0,54.0
1958-09-15,59.0,62.0,56.0
1958-09-16,59.5,63.0,56.0
1958-09-17,61.5,68.0,55.0
1958-09-18,56.0,59.0,53.0
1958-09-19,58.0,63.0,53.0
1958-09-20,54.0,58.0,50.0
1958-09-21,56.0,61.0,51.0
1958-09-22,50.5,56.0,45.0
1958-09-23,49.5,57.0,42.0
1958-09-24,49.0,52.0,46.0
1958-09-25,54.0,61.0,47.0
1958-09-26,55.0,60.0,50.0
1958-09-27,54.5,62.0,47.0
1958-09-28,55.5,61.0,50.0
1958-09-29,56.5,60.0,53.0
1958-09-30,53.0,59.0,47.0
1958-10-01,55.5,63.0,48.0
1958-10-02,54.5,61.0,48.0
1958-10-03,54.5,62.0,47.0
1958-10-04,54.0,60.0,48.0
1958-10-05,54.0,59.0,49.0
1958-10-06,53.0,56.0,50.0
1958-10-07,53.5,56.0,51.0
1958-10-08,52.0,56.0,48.0
1958-10-09,46.5,49.0,44.0
1958-10-10,51.5,57.0,46.0
1958-10-11,54.0,57.0,51.0
1958-10-12,54.0,55.0,53.0
1958-10-13,53.5,57.0,50.0
1958-10-14,57.0,60.0,54.0
1958-10-15,54.0,57.0,51.0
1958-10-16,50.0,55.0,45.0
1958-10-17,52.0,62.0,42.0
1958-10-18,57.5,62.0,53.0
1958-10-19,51.0,55.0,47.0
1958-10-20,49.0,55.0,43.0
1958-10-21,47.0,52.0,42.0
1958-10-22,50.5,58.0,43.0
1958-10-23,48.5,53.0,44.0
1958-10-24,45.5,51.0,40.0
1958-10-25,48.5,56.0,41.0
1958-10-26,50.5,56.0,45.0
1958-10-27,48.5,54.0,43.0
1958-10-28,48.5,55.0,42.0
1958-10-29,48.0,54.0,42.0
1958-10-30,53.0,63.0,43.0
1958-10-31,49.5,55.0,44.0
1958-11-01,53.5,56.0,51.0
1958-11-02,51.0,53.0,49.0
1958-11-03,47.0,49.0,45.0
1958-11-04,46.5,50.0,43.0
1958-11-05,46.5,54.0,39.0
1958-11-06,51.5,56.0,47.0
1958-11-07,46.5,52.0,41.0
1958-11-08,48.0,52.0,44.0
1958-11-09,46.0,49.0,43.0
1958-11-10,44.5,48.0,41.0
1958-11-11,46.0,49.0,43.0
1958-11-12,47.5,50.0,45.0
1958-11-13,42.0,45.0,39.0
1958-11-14,40.5,45.0,36.0
1958-11-15,39.0,43.0,35.0
1958-11-16,34.0,39.0,29.0
1958-11-17,38.0,42.0,34.0
1958-11-18,38.5,42.0,35.0
