,year,chill_hours,gdd,bloom_doy
0,1942,1239.408517394062,230.25,95
1,1943,2186.3901129623396,245.05,94
2,1944,2111.196179478053,225.4,100
3,1945,2312.851435661882,193.05,79
4,1946,2022.637662796819,252.45,82
5,1947,1776.760610394826,268.7,102
6,1948,2213.3215500345354,226.85,88
7,1949,1637.0141741479451,304.55,88
8,1950,1683.6833691740553,340.25,99
9,1951,2022.328932557889,279.15,96
10,1952,1934.629186429547,278.85,100
11,1953,1992.9534059246052,256.05,86
12,1954,1846.4198853128328,266.1,96
13,1955,2240.751293158037,246.95,92
14,1956,2253.5577728799262,224.15,97
15,1957,1965.9097744574408,249.39999999999998,98
16,1958,2114.7346988671006,208.89999999999998,108
17,1959,2007.853090589894,250.7,96
18,1960,1992.9983360383228,243.95,105
19,1961,2161.1159408659823,228.05,92
20,1962,2195.2170489659243,214.8,97
21,1963,2448.101020032119,226.75,93
22,1964,2138.039747598617,261.9,102
23,1965,1974.3985284727914,208.04999999999998,105
24,1966,1966.586268255473,234.1,95
25,1967,2027.3010988687804,292.6,96
26,1968,2237.155228431664,214.7,90
27,1969,2175.4388415493654,207.25,99
28,1970,2282.5647885950116,206.25,106
29,1971,1963.3703464805687,207.8,98
30,1972,1824.4839333881619,265.25,102
31,1973,1963.1253093133994,370.6,101
32,1974,1692.03579751871,348.8,93
33,1975,1808.5043804623706,278.6,93
34,1976,1713.2085192356133,306.8,83
35,1977,2392.8066335732974,236.15,85
36,1978,2196.2715446226675,278.25,102
37,1979,1942.7038860922341,264.15,92
38,1980,1793.2362123591356,274.25,97
39,1981,1770.4098171583391,337.6,93
40,1982,2040.3655470789304,212.9,97
41,1983,1786.1536905942112,285.6,97
42,1984,1822.3757689842507,220.6,94
43,1985,1911.5338592576263,288.15,97
44,1986,1961.704060731815,261.65,92
45,1987,2167.6673976304346,164.5,87
46,1988,2098.2835038465187,205.45000000000002,91
47,1989,1943.9783669216301,209.2,88
48,1990,1785.7679781104985,313.1,74
49,1991,1620.5230618806074,296.1,88
50,1992,1839.9622585750856,252.65,98
51,1993,2120.232681124624,218.35,101
52,1994,2129.732414676582,198.85,95
53,1995,1742.9427563924244,272.55,92
54,1996,2262.0321631946103,225.15,95
55,1997,1866.9765498477395,276.9,85
56,1998,1831.7230030319847,238.45,86
57,1999,1603.5886899962281,294.7,95
58,2000,1642.287508657302,279.3,77
59,2001,2209.0252291358865,200.65,96
60,2002,1473.0994245249703,326.6,92
61,2003,2321.3200708683926,194.95,92
62,2004,2007.775363048392,233.7,91
63,2005,1699.5065851667314,291.8,99
64,2006,1932.70003697847,265.3,89
65,2007,1807.6961645102756,288.95,91
66,2008,1745.2534860271062,277.7,86
67,2009,2136.5770444984782,199.25,91
68,2010,2045.3596266417626,239.95000000000002,90
69,2011,2032.9667644892863,199.8,88
70,2012,1468.740551372598,348.65,80
71,2013,1806.4944126521739,267.3,99
72,2014,2014.2036693222663,270.75,100
73,2015,2046.2275597332218,254.15,100
74,2016,1445.324104719363,294.05,85
75,2017,1380.1187787345302,349.05,84
76,2018,1628.8023828862574,301.9,95
77,2019,1813.1646831599815,269.55,91
78,2020,1617.805749076013,326.4,80
79,2021,1810.9963387908556,237.1,87
80,2022,1676.8502254043212,254.8,80
81,2023,1467.6499372318851,353.7,82
82,2024,1477.5644318354693,300.95,77
