,Min,Max,Avg
0,7.78,19.44,13.610000000000001
1,6.11,12.78,9.445
2,7.22,14.44,10.83
3,5.0,14.44,9.719999999999999
4,4.44,13.33,8.885
5,3.89,21.11,12.5
6,2.22,18.89,10.555
7,4.44,16.11,10.275
8,3.89,15.56,9.725
9,2.22,15.0,8.61
10,2.78,15.56,9.17
11,4.44,15.56,10.0
12,3.89,16.11,10.0
13,3.89,16.67,10.280000000000001
14,7.22,16.11,11.665
15,12.78,19.44,16.11
16,11.11,23.89,17.5
17,11.11,23.89,17.5
18,9.44,17.78,13.61
19,5.0,23.33,14.165
20,5.0,20.0,12.5
21,4.44,17.78,11.110000000000001
22,10.0,16.67,13.335
23,6.11,18.89,12.5
24,7.22,19.44,13.33
25,13.33,20.0,16.665
26,13.89,22.78,18.335
27,13.33,23.89,18.61
28,14.44,25.0,19.72
29,7.78,26.11,16.945
30,6.67,25.56,16.115
