,Min,Max,Avg
0,6.67,25.56,19.45
1,6.67,22.22,17.78
2,7.22,18.33,16.384999999999998
3,9.44,20.56,19.72
4,10.56,20.0,20.560000000000002
5,7.78,23.33,19.445
6,12.22,21.11,22.775
7,13.89,23.33,25.555
8,15.56,26.67,28.895000000000003
9,15.56,26.67,28.895000000000003
10,15.0,23.33,26.665
11,14.44,22.78,25.83
12,16.67,23.89,28.615000000000002
13,12.78,23.33,24.445
14,9.44,27.78,23.33
15,12.22,22.22,23.33
16,10.0,21.11,20.555
17,10.56,22.22,21.67
18,11.67,23.89,23.615000000000002
19,17.22,23.33,28.884999999999998
20,11.67,22.78,23.060000000000002
21,10.0,25.56,22.78
22,11.67,22.22,22.78
