,year,chill_hours,gdd,bloom_doy_x,bloom_doy_y
0,1942,1239.408517394062,41.05,95,95
1,1943,2186.3901129623396,70.2,94,94
2,1944,2111.196179478053,57.300000000000004,100,100
3,1945,2312.851435661882,62.85,79,79
4,1946,2022.637662796819,69.05,82,82
5,1947,1776.760610394826,75.89999999999999,102,102
6,1948,2213.3215500345354,81.1,88,88
7,1949,1637.0141741479451,75.15,88,88
8,1950,1683.6833691740553,102.5,99,99
9,1951,2022.328932557889,55.35,96,96
10,1952,1934.629186429547,56.95,100,100
11,1953,1992.9534059246052,45.1,86,86
12,1954,1846.4198853128328,47.4,96,96
13,1955,2240.751293158037,60.05,92,92
14,1956,2253.5577728799262,45.199999999999996,97,97
15,1957,1965.9097744574408,42.55,98,98
16,1958,2114.7346988671006,36.949999999999996,108,108
17,1959,2007.853090589894,43.75,96,96
18,1960,1992.9983360383228,80.05,105,105
19,1961,2161.1159408659823,57.849999999999994,92,92
20,1962,2195.2170489659243,43.05,97,97
21,1963,2448.101020032119,77.45,93,93
22,1964,2138.039747598617,45.85,102,102
23,1965,1974.3985284727914,28.949999999999996,105,105
24,1966,1966.586268255473,41.550000000000004,95,95
25,1967,2027.3010988687804,83.2,96,96
26,1968,2237.155228431664,67.85,90,90
27,1969,2175.4388415493654,50.55,99,99
28,1970,2282.5647885950116,25.5,106,106
29,1971,1963.3703464805687,30.35,98,98
30,1972,1824.4839333881619,44.85,102,102
31,1973,1963.1253093133994,81.3,101,101
32,1974,1692.03579751871,74.75,93,93
33,1975,1808.5043804623706,55.75,93,93
34,1976,1713.2085192356133,93.95,83,83
35,1977,2392.8066335732974,67.2,85,85
36,1978,2196.2715446226675,99.9,102,102
37,1979,1942.7038860922341,77.39999999999999,92,92
38,1980,1793.2362123591356,56.749999999999986,97,97
39,1981,1770.4098171583391,97.15,93,93
40,1982,2040.3655470789304,42.7,97,97
41,1983,1786.1536905942112,46.849999999999994,97,97
42,1984,1822.3757689842507,29.15,94,94
43,1985,1911.5338592576263,86.5,97,97
44,1986,1961.704060731815,87.8,92,92
45,1987,2167.6673976304346,38.449999999999996,87,87
46,1988,2098.2835038465187,52.5,91,91
47,1989,1943.9783669216301,59.449999999999996,88,88
48,1990,1785.7679781104985,88.65,74,74
49,1991,1620.5230618806074,58.35,88,88
50,1992,1839.9622585750856,33.7,98,98
51,1993,2120.232681124624,31.650000000000002,101,101
52,1994,2129.732414676582,39.2,95,95
53,1995,1742.9427563924244,63.550000000000004,92,92
54,1996,2262.0321631946103,41.050000000000004,95,95
55,1997,1866.9765498477395,60.55,85,85
56,1998,1831.7230030319847,41.95,86,86
57,1999,1603.5886899962281,59.949999999999996,95,95
58,2000,1642.287508657302,72.4,77,77
59,2001,2209.0252291358865,12.700000000000005,96,96
60,2002,1473.0994245249703,80.45,92,92
61,2003,2321.3200708683926,53.75,92,92
62,2004,2007.775363048392,63.550000000000004,91,91
63,2005,1699.5065851667314,59.0,99,99
64,2006,1932.70003697847,56.400000000000006,89,89
65,2007,1807.6961645102756,89.44999999999999,91,91
66,2008,1745.2534860271062,60.85000000000001,86,86
67,2009,2136.5770444984782,43.699999999999996,91,91
68,2010,2045.3596266417626,60.550000000000004,90,90
69,2011,2032.9667644892863,42.2,88,88
70,2012,1468.740551372598,103.45,80,80
71,2013,1806.4944126521739,44.89999999999999,99,99
72,2014,2014.2036693222663,64.9,100,100
73,2015,2046.2275597332218,67.5,100,100
74,2016,1445.324104719363,87.05000000000001,85,85
75,2017,1380.1187787345302,100.55,84,84
76,2018,1628.8023828862574,74.80000000000001,95,95
77,2019,1813.1646831599815,45.6,91,91
78,2020,1617.805749076013,70.4,80,80
79,2021,1810.9963387908556,66.25,87,87
80,2022,1676.8502254043212,74.25,80,80
81,2023,1467.6499372318851,68.25,82,82
82,2024,1477.5644318354693,75.55,77,77
