year,data,bloom_date,bloom_doy,law,pred_bloom_doy,location,stationID
1942,,1942-04-05,95,3491.05,97,washingtondc,USW00013743
1943,,1943-04-04,94,3056.1175000000003,107,washingtondc,USW00013743
1944,,1944-04-09,100,2017.6725000000001,112,washingtondc,USW00013743
1945,,1945-03-20,79,3608.535,83,washingtondc,USW00013743
1946,,1946-03-23,82,4150.5599999999995,82,washingtondc,USW00013743
1947,,1947-04-12,102,3919.7975,104,washingtondc,USW00013743
1948,,1948-03-28,88,4164.2675,86,washingtondc,USW00013743
1949,,1949-03-29,88,4873.0975,86,washingtondc,USW00013743
1950,,1950-04-09,99,2904.7325,109,washingtondc,USW00013743
1951,,1951-04-06,96,4103.75,96,washingtondc,USW00013743
1952,,1952-04-09,100,3976.37,102,washingtondc,USW00013743
1953,,1953-03-27,86,4860.7,81,washingtondc,USW00013743
1954,,1954-04-06,96,4075.88,97,washingtondc,USW00013743
1955,,1955-04-02,92,4060.28,93,washingtondc,USW00013743
1956,,1956-04-06,97,4217.905,97,washingtondc,USW00013743
1957,,1957-04-08,98,4471.9349999999995,96,washingtondc,USW00013743
1958,,1958-04-18,108,3813.8275,109,washingtondc,USW00013743
1959,,1959-04-06,96,3436.43,98,washingtondc,USW00013743
1960,,1960-04-14,105,3763.4849999999997,106,washingtondc,USW00013743
1961,,1961-04-02,92,4360.3325,88,washingtondc,USW00013743
1962,,1962-04-07,97,3304.3125,103,washingtondc,USW00013743
1963,,1963-04-03,93,4370.71,93,washingtondc,USW00013743
1964,,1964-04-11,102,3938.4675,103,washingtondc,USW00013743
1965,,1965-04-15,105,3604.3174999999997,110,washingtondc,USW00013743
1966,,1966-04-05,95,3403.1150000000002,105,washingtondc,USW00013743
1967,,1967-04-06,96,3926.6400000000003,97,washingtondc,USW00013743
1968,,1968-03-30,90,3813.5425,91,washingtondc,USW00013743
1969,,1969-04-09,99,4205.69,99,washingtondc,USW00013743
1970,,1970-04-16,106,3100.2625000000003,112,washingtondc,USW00013743
1971,,1971-04-08,98,3755.19,100,washingtondc,USW00013743
1972,,1972-04-11,102,3795.9674999999997,104,washingtondc,USW00013743
1973,,1973-04-11,101,5562.51,91,washingtondc,USW00013743
1974,,1974-04-03,93,6581.0075,66,washingtondc,USW00013743
1975,,1975-04-03,93,4416.9325,91,washingtondc,USW00013743
1976,,1976-03-23,83,5975.455,65,washingtondc,USW00013743
1977,,1977-03-26,85,4503.195,78,washingtondc,USW00013743
1978,,1978-04-12,102,5468.765,98,washingtondc,USW00013743
1979,,1979-04-02,92,4905.5475,90,washingtondc,USW00013743
1980,,1980-04-06,97,4017.475,98,washingtondc,USW00013743
1981,,1981-04-03,93,5977.2825,88,washingtondc,USW00013743
1982,,1982-04-07,97,3850.8575,103,washingtondc,USW00013743
1983,,1983-04-07,97,4490.8675,94,washingtondc,USW00013743
1984,,1984-04-03,94,1686.8825,111,washingtondc,USW00013743
1985,,1985-04-07,97,5509.87,90,washingtondc,USW00013743
1986,,1986-04-02,92,4442.7775,92,washingtondc,USW00013743
1987,,1987-03-28,87,2730.27,100,washingtondc,USW00013743
1988,,1988-03-31,91,3383.465,94,washingtondc,USW00013743
1989,,1989-03-29,88,2691.205,96,washingtondc,USW00013743
1990,,1990-03-15,74,2647.1299999999997,82,washingtondc,USW00013743
1991,,1991-03-29,88,3891.295,93,washingtondc,USW00013743
1992,,1992-04-07,98,4079.6,99,washingtondc,USW00013743
1993,,1993-04-11,101,2536.935,109,washingtondc,USW00013743
1994,,1994-04-05,95,3146.435,100,washingtondc,USW00013743
1995,,1995-04-02,92,3955.3375,94,washingtondc,USW00013743
1996,,1996-04-04,95,2163.79,109,washingtondc,USW00013743
1997,,1997-03-26,85,4395.7475,81,washingtondc,USW00013743
1998,,1998-03-27,86,4734.18,83,washingtondc,USW00013743
1999,,1999-04-05,95,2970.035,100,washingtondc,USW00013743
2000,,2000-03-17,77,4242.8575,76,washingtondc,USW00013743
2001,,2001-04-06,96,2551.2575,102,washingtondc,USW00013743
2002,,2002-04-02,92,6356.75,73,washingtondc,USW00013743
2003,,2003-04-02,92,3357.545,99,washingtondc,USW00013743
2004,,2004-03-31,91,4045.9625,92,washingtondc,USW00013743
2005,,2005-04-09,99,4313.16,98,washingtondc,USW00013743
2006,,2006-03-30,89,3069.965,93,washingtondc,USW00013743
2007,,2007-04-01,91,3404.455,94,washingtondc,USW00013743
2008,,2008-03-26,86,3127.605,94,washingtondc,USW00013743
2009,,2009-04-01,91,2647.1675,100,washingtondc,USW00013743
2010,,2010-03-31,90,4114.2775,90,washingtondc,USW00013743
2011,,2011-03-29,88,3687.635,94,washingtondc,USW00013743
2012,,2012-03-20,80,6366.7175,73,washingtondc,USW00013743
2013,,2013-04-09,99,4408.26,99,washingtondc,USW00013743
2014,,2014-04-10,100,2913.895,103,washingtondc,USW00013743
2015,,2015-04-10,100,4276.44,100,washingtondc,USW00013743
2016,,2016-03-25,85,4959.425,83,washingtondc,USW00013743
2017,,2017-03-25,84,6707.7575,56,washingtondc,USW00013743
2018,,2018-04-05,95,5573.4375,84,washingtondc,USW00013743
2019,,2019-04-01,91,4268.3949999999995,89,washingtondc,USW00013743
2020,,2020-03-20,80,6207.2775,69,washingtondc,USW00013743
2021,,2021-03-28,87,4122.5525,87,washingtondc,USW00013743
2022,,2022-03-21,80,4535.9574999999995,78,washingtondc,USW00013743
2023,,2023-03-23,82,6475.0675,55,washingtondc,USW00013743
2024,,2024-03-17,77,5351.9725,73,washingtondc,USW00013743
